picture,Label
new_pictures/5A.bmp_6.jpg,positive
new_pictures/5A.bmp_7.jpg,negative
new_pictures/5A.bmp_8.jpg,negative
new_pictures/5A.bmp_9.jpg,positive
new_pictures/5A.bmp_10.jpg,negative
new_pictures/6A.bmp_0.jpg,positive
new_pictures/6A.bmp_1.jpg,negative
new_pictures/6A.bmp_2.jpg,negative
new_pictures/6A.bmp_3.jpg,positive
new_pictures/6A.bmp_4.jpg,negative
new_pictures/6A.bmp_5.jpg,negative
new_pictures/6A.bmp_6.jpg,negative
new_pictures/6A.bmp_7.jpg,negative
new_pictures/6A.bmp_8.jpg,positive
new_pictures/6A.bmp_9.jpg,negative
new_pictures/6A.bmp_10.jpg,negative
new_pictures/7A.bmp_0.jpg,positive
new_pictures/7A.bmp_1.jpg,negative
new_pictures/7A.bmp_2.jpg,negative
new_pictures/7A.bmp_3.jpg,positive
new_pictures/7A.bmp_4.jpg,negative
new_pictures/7A.bmp_5.jpg,negative
new_pictures/7A.bmp_6.jpg,negative
new_pictures/7A.bmp_7.jpg,negative
new_pictures/7A.bmp_8.jpg,positive
new_pictures/7A.bmp_9.jpg,negative
new_pictures/7A.bmp_10.jpg,negative
new_pictures/8A.bmp_0.jpg,positive
new_pictures/8A.bmp_1.jpg,negative
new_pictures/8A.bmp_2.jpg,negative
new_pictures/8A.bmp_3.jpg,positive
new_pictures/8A.bmp_4.jpg,negative
new_pictures/8A.bmp_5.jpg,negative
new_pictures/8A.bmp_6.jpg,negative
new_pictures/8A.bmp_7.jpg,negative
new_pictures/8A.bmp_8.jpg,positive
new_pictures/8A.bmp_9.jpg,negative
new_pictures/8A.bmp_10.jpg,negative
new_pictures/9A.bmp_0.jpg,positive
new_pictures/9A.bmp_1.jpg,positive
new_pictures/9A.bmp_2.jpg,positive
new_pictures/9A.bmp_3.jpg,negative
new_pictures/9A.bmp_4.jpg,negative
new_pictures/9A.bmp_5.jpg,negative
new_pictures/9A.bmp_6.jpg,positive
new_pictures/9A.bmp_7.jpg,negative
new_pictures/9A.bmp_8.jpg,negative
new_pictures/9A.bmp_9.jpg,positive
new_pictures/9A.bmp_10.jpg,negative
new_pictures/10A.bmp_0.jpg,positive
new_pictures/10A.bmp_1.jpg,positive
new_pictures/10A.bmp_2.jpg,negative
new_pictures/10A.bmp_3.jpg,positive
new_pictures/10A.bmp_4.jpg,negative
new_pictures/10A.bmp_5.jpg,negative
new_pictures/10A.bmp_6.jpg,positive
new_pictures/10A.bmp_7.jpg,negative
new_pictures/10A.bmp_8.jpg,negative
new_pictures/10A.bmp_9.jpg,positive
new_pictures/10A.bmp_10.jpg,negative
new_pictures/11A.bmp_0.jpg,positive
new_pictures/11A.bmp_1.jpg,positive
new_pictures/11A.bmp_2.jpg,positive
new_pictures/11A.bmp_3.jpg,positive
new_pictures/11A.bmp_4.jpg,positive
new_pictures/11A.bmp_5.jpg,negative
new_pictures/11A.bmp_6.jpg,positive
new_pictures/11A.bmp_7.jpg,negative
new_pictures/11A.bmp_8.jpg,negative
new_pictures/11A.bmp_9.jpg,positive
new_pictures/11A.bmp_10.jpg,negative
new_pictures/12A.bmp_0.jpg,negative
new_pictures/12A.bmp_1.jpg,negative
new_pictures/12A.bmp_2.jpg,negative
new_pictures/12A.bmp_3.jpg,negative
new_pictures/12A.bmp_4.jpg,negative
new_pictures/12A.bmp_5.jpg,negative
new_pictures/12A.bmp_6.jpg,negative
new_pictures/12A.bmp_7.jpg,negative
new_pictures/12A.bmp_8.jpg,negative
new_pictures/12A.bmp_9.jpg,negative
new_pictures/12A.bmp_10.jpg,negative
new_pictures/13A.bmp_0.jpg,negative
new_pictures/13A.bmp_1.jpg,negative
new_pictures/13A.bmp_2.jpg,negative
new_pictures/13A.bmp_3.jpg,negative
new_pictures/13A.bmp_4.jpg,negative
new_pictures/13A.bmp_5.jpg,negative
new_pictures/13A.bmp_6.jpg,negative
new_pictures/13A.bmp_7.jpg,negative
new_pictures/13A.bmp_8.jpg,negative
new_pictures/13A.bmp_9.jpg,negative
new_pictures/13A.bmp_10.jpg,negative
new_pictures/14A.bmp_0.jpg,negative
new_pictures/14A.bmp_1.jpg,negative
new_pictures/14A.bmp_2.jpg,negative
new_pictures/14A.bmp_3.jpg,negative
new_pictures/14A.bmp_4.jpg,negative
new_pictures/14A.bmp_5.jpg,negative
new_pictures/14A.bmp_6.jpg,negative
new_pictures/14A.bmp_7.jpg,negative
new_pictures/14A.bmp_8.jpg,negative
new_pictures/14A.bmp_9.jpg,negative
new_pictures/14A.bmp_10.jpg,negative
new_pictures/15A.bmp_0.jpg,negative
new_pictures/15A.bmp_1.jpg,negative
new_pictures/15A.bmp_2.jpg,negative
new_pictures/15A.bmp_3.jpg,negative
new_pictures/15A.bmp_4.jpg,negative
new_pictures/15A.bmp_5.jpg,negative
new_pictures/15A.bmp_6.jpg,negative
new_pictures/15A.bmp_7.jpg,negative
new_pictures/15A.bmp_8.jpg,negative
new_pictures/15A.bmp_9.jpg,negative
new_pictures/15A.bmp_10.jpg,negative
new_pictures/16A.bmp_0.jpg,positive
new_pictures/16A.bmp_1.jpg,negative
new_pictures/16A.bmp_2.jpg,positive
new_pictures/16A.bmp_3.jpg,positive
new_pictures/16A.bmp_4.jpg,positive
new_pictures/16A.bmp_5.jpg,negative
new_pictures/16A.bmp_6.jpg,positive
new_pictures/16A.bmp_7.jpg,negative
new_pictures/16A.bmp_8.jpg,negative
new_pictures/16A.bmp_9.jpg,positive
new_pictures/16A.bmp_10.jpg,negative
